lag,df,pi,lpi,upi
0,0,21.67,7.98,37.09
1,0,19.49,6.37,34.23
2,0,13.26,1.98,25.8
3,0,-4.75,-12.25,3.39
4,0,-8.36,-15.25,-0.92
5,0,-14.03,-20.37,-7.19
6,0,-19.47,-25.19,-13.31
7,0,-18.26,-23.84,-12.27
8,0,-23.91,-28.92,-18.54
9,0,-24.86,-29.64,-19.76
10,0,-29,-33.5,-24.2
11,0,-29.45,-33.63,-25.01
12,0,-24.1,-28.78,-19.11
13,0,-18.95,-23.84,-13.75
14,0,-12,-17.23,-6.44
0,1,21.44,9.78,34.34
1,1,16.07,5.05,28.24
2,1,23.42,12.71,35.15
3,1,6.82,-0.87,15.1
4,1,3.05,-4.12,10.74
5,1,-5.93,-12.41,1.03
6,1,-14.37,-20.09,-8.23
7,1,-10.47,-16.3,-4.23
8,1,-16.15,-21.37,-10.59
9,1,-15.86,-20.8,-10.61
10,1,-17.81,-22.9,-12.38
11,1,-17.31,-22.62,-11.64
12,1,-4.24,-10.94,2.97
13,1,7.37,0.28,14.96
14,1,19.14,12.27,26.43
0,2,-12.2,-20.45,-3.1
1,2,-8.92,-16.87,-0.2
2,2,5.08,-3.3,14.18
3,2,7.68,0.67,15.18
4,2,15.17,8.33,22.44
5,2,20.12,12.62,28.12
6,2,20.72,12.34,29.72
7,2,21.79,13.95,30.16
8,2,3.94,-2.3,10.57
9,2,-0.69,-6.11,5.04
10,2,-7.38,-12.14,-2.36
11,2,-11.75,-16.08,-7.19
12,2,-10.85,-15.7,-5.71
13,2,-15.33,-20.55,-9.77
14,2,-11.73,-17.88,-5.12
0,3,-12.35,-20.43,-3.45
1,3,-12.13,-20.03,-3.45
2,3,-0.33,-11.25,11.94
3,3,8.63,-4.59,23.68
4,3,31.34,17.95,46.26
5,3,26.41,16.1,37.62
6,3,19.65,11.2,28.75
7,3,23.52,16.08,31.43
8,3,9.8,2.35,17.79
9,3,7.39,-1.27,16.82
10,3,-8.99,-15.98,-1.42
11,3,-14.06,-19.33,-8.45
12,3,-10.47,-15.68,-4.94
13,3,-15.2,-20.39,-9.68
14,3,-16.04,-22.2,-9.39
0,4,-8.34,-18.14,2.62
1,4,-8.3,-16.91,1.2
2,4,1.26,-9.07,12.77
3,4,4.42,-7.72,18.15
4,4,28.77,13.96,45.5
5,4,33.85,19.22,50.27
6,4,25.4,12.51,39.77
7,4,26.3,16.84,36.53
8,4,6.64,-0.38,14.16
9,4,9.09,1.01,17.82
10,4,-3.68,-12.21,5.69
11,4,-16.48,-23.64,-8.64
12,4,-9.07,-15.53,-2.11
13,4,-13.95,-19.55,-7.96
14,4,-14.79,-20.8,-8.33
